call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
CALL010,1,SPEAKER_1,13.7,15.3,1.6,"Good afternoon, this is Sneha.",Agent
CALL010,2,SPEAKER_1,16.7,18.2,1.5,From the Adventure Team.,Agent
CALL010,3,SPEAKER_1,19.3,22.6,3.3,Mahindra and Mahindra. I am speaking with Mr. Anurag.,Agent
CALL010,4,SPEAKER_2,23.2,23.7,0.5,Yes.,Customer
CALL010,5,SPEAKER_1,26.1,26.6,0.5,Hello.,Agent
CALL010,6,SPEAKER_2,27.2,28.6,1.4,"Yes, Ma'am, please tell me.",Customer
CALL010,7,SPEAKER_1,29.3,34.5,5.2,"Yes, this is Sneha speaking from the Adventure Team of Mahindra & Mahindra. I am speaking with Anurag Ji.",Agent
CALL010,8,SPEAKER_2,34.9,35.7,0.8,"Yes, tell me.",Customer
CALL010,9,SPEAKER_1,36.2,48.2,12.0,"Thank you for confirming, sir. This is a small feedback call so that we can give our customers a better adventure exercise experience and improve it further.",Agent
CALL010,10,SPEAKER_1,49.8,54.3,4.5,"I would like to start with a basic question. Can I know your age, sir?",Agent
CALL010,11,SPEAKER_2,55.6,56.5,0.9,Thirty-one.,Customer
CALL010,12,SPEAKER_1,57.1,60.2,3.1,"Thirty-one, okay. And what is your profession, sir?",Agent
CALL010,13,SPEAKER_2,61.4,62.2,0.8,"Yes, yes, sir.",Customer
CALL010,14,SPEAKER_1,63.1,68.2,5.1,"Business, okay. And how many members are there in your family, sir?",Agent
CALL010,15,SPEAKER_2,69.2,69.7,0.5,Okay.,Customer
CALL010,16,SPEAKER_1,71.4,75.5,4.1,"Sir, which vehicle do you have?",Agent
CALL010,17,SPEAKER_2,77.1,79.1,2.0,"Meaning, the age of the temple?",Customer
CALL010,18,SPEAKER_1,80.8,82.6,1.8,"Whatever car you have, sir.",Agent
CALL010,19,SPEAKER_2,83.3,86.4,3.1,"Ma'am, there are ten cars. Please tell me which one.",Customer
CALL010,20,SPEAKER_1,87.5,89.0,1.5,"Which car do you have, sir?",Agent
CALL010,21,SPEAKER_2,90.1,93.3,3.2,We have Mahindra's Thar and XUV.,Customer
CALL010,22,SPEAKER_1,95.2,96.6,1.4,Thar and XUV.,Agent
CALL010,23,SPEAKER_2,97.6,98.4,0.8,I am Indira.,Customer
CALL010,24,SPEAKER_1,99.0,99.8,0.8,Okay.,Agent
CALL010,25,SPEAKER_2,100.7,101.0,0.3,Hmm.,Customer
CALL010,26,SPEAKER_1,101.0,107.1,6.1,"And sir, where did you first learn about Mahindra Adventure?",Agent
CALL010,27,SPEAKER_2,108.2,109.5,1.3,What?,Customer
CALL010,28,SPEAKER_1,108.8,109.2,0.4,Yes.,Agent
CALL010,29,SPEAKER_1,110.9,118.6,7.7,"Mahindra Adventure, right, sir? The adventure event—where did you see it first, and at which location?",Agent
CALL010,30,SPEAKER_2,117.5,117.8,0.3,Which one?,Customer
CALL010,31,SPEAKER_2,118.1,118.5,0.4,On...,Customer
CALL010,32,SPEAKER_2,118.6,121.2,2.6,Is there an Instagram ad?,Customer
CALL010,33,SPEAKER_1,122.3,124.2,1.9,Instagram and location?,Agent
CALL010,34,SPEAKER_2,126.6,127.4,0.8,Khajuraho.,Customer
CALL010,35,SPEAKER_1,128.3,128.9,0.6,Khajuraho.,Agent
CALL010,36,SPEAKER_1,132.6,138.9,6.3,"Okay. And sir, where did you show interest?",Agent
CALL010,37,SPEAKER_2,140.5,141.7,1.2,Let's search for it.,Customer
CALL010,38,SPEAKER_1,142.8,144.2,1.4,"Okay, in Khajuraho village.",Agent
CALL010,39,SPEAKER_1,145.7,150.2,4.5,"And sir, for what reason did you not subscribe to this event?",Agent
CALL010,40,SPEAKER_2,152.7,154.8,2.1,It was probably during Christmas time.,Customer
CALL010,41,SPEAKER_1,157.2,158.4,1.2,At what time was it?,Agent
CALL010,42,SPEAKER_2,159.4,161.0,1.6,It was on the twenty-fifth.,Customer
CALL010,43,SPEAKER_1,162.5,163.2,0.7,Okay.,Agent
CALL010,44,SPEAKER_1,166.2,170.4,4.2,So what was your reason for not subscribing to this event?,Agent
CALL010,45,SPEAKER_2,171.7,173.7,2.0,"It was one and a half, wasn't it? It's not missed.",Customer
CALL010,46,SPEAKER_1,175.1,176.3,1.2,Due to the date.,Agent
CALL010,47,SPEAKER_2,176.9,177.5,0.6,Hmm.,Customer
CALL010,48,SPEAKER_1,178.6,179.3,0.7,Okay.,Agent
CALL010,49,SPEAKER_1,180.5,187.5,7.0,"And sir, what other outdoor experiences have you had anywhere else regarding this, sir?",Agent
CALL010,50,SPEAKER_1,188.7,191.9,3.2,You were watching—which other outdoor experience?,Agent
CALL010,51,SPEAKER_2,191.9,199.8,7.9,I have two MG Gloster and Hector. I have driven an MG Adventure and a Mercedes.,Customer
CALL010,52,SPEAKER_1,201.2,204.6,3.4,"Okay, so besides Mahindra, were you also looking at other adventures?",Agent
CALL010,53,SPEAKER_2,205.4,208.4,3.0,I wasn't seeing it. I have joined before.,Customer
CALL010,54,SPEAKER_1,209.1,211.9,2.8,"Okay, you have joined before. Where, sir?",Agent
CALL010,55,SPEAKER_2,212.9,213.9,1.0,In Gurgaon.,Customer
CALL010,56,SPEAKER_1,214.7,215.5,0.8,In Gurgaon.,Agent
CALL010,57,SPEAKER_2,216.1,216.8,0.7,"Yes, yes.",Customer
CALL010,58,SPEAKER_1,218.2,219.1,0.9,Okay.,Agent
CALL010,59,SPEAKER_1,222.6,224.8,2.2,"So, and you are not watching right now, are you?",Agent
CALL010,60,SPEAKER_2,225.8,227.1,1.3,"Not seeing, I mean.",Customer
CALL010,61,SPEAKER_1,230.4,239.4,9.0,"Yes, like you were just watching Mahindra's Adventure, but for some reason, you didn't subscribe to it, right?",Agent
CALL010,62,SPEAKER_2,239.9,241.7,1.8,"Yes, and first you...",Customer
CALL010,63,SPEAKER_1,240.9,245.9,5.0,"And earlier, you had a date issue, that's why.",Agent
CALL010,64,SPEAKER_2,246.5,246.8,0.3,Hmm.,Customer
CALL010,65,SPEAKER_1,249.6,257.6,8.0,"So, sir, what do you think should be improved in this?",Agent
CALL010,66,SPEAKER_2,259.3,262.3,3.0,"If they haven't gone, how can we tell them what should be improved?",Customer
CALL010,67,SPEAKER_1,264.9,271.8,6.9,"So, I mean, if you subscribe in the future, what do you think?",Agent
CALL010,68,SPEAKER_2,270.6,278.2,7.6,"What  do  you  think?  See,  during  festival  time  and  all  these  things,  people  stay  at  home  for  family outings.",Customer
CALL010,69,SPEAKER_1,278.2,278.9,0.7,Yes.,Agent
CALL010,70,SPEAKER_2,278.8,283.2,4.4,"Who goes on an adventure with friends, four by four, off-roading?",Customer
CALL010,71,SPEAKER_1,287.0,287.8,0.8,"Right, sir.",Agent
CALL010,72,SPEAKER_1,288.9,290.9,2.0,"So you don't feel anything like that, do you, about the improvement?",Agent
CALL010,73,SPEAKER_2,291.9,292.8,0.9,"Yes, yes, yes.",Customer
CALL010,74,SPEAKER_1,293.4,313.4,20.0,"Okay. And sir, Anurag Ji, what do you think about the information we provide? When should we do it? Should we inform you a week in advance, or a week or two?",Agent
CALL010,75,SPEAKER_2,312.3,315.2,2.9,"It should be within a month, at least.",Customer
CALL010,76,SPEAKER_1,316.2,318.6,2.4,"We should inform within a month, right?",Agent
CALL010,77,SPEAKER_2,318.6,319.6,1.0,"Yes, yes, yes.",Customer
CALL010,78,SPEAKER_1,320.8,321.6,0.8,Okay.,Agent
CALL010,79,SPEAKER_1,324.0,327.7,3.7,"As you mentioned, you had seen it in Khajuraho, right?",Agent
CALL010,80,SPEAKER_2,328.2,330.4,2.2,"Yes, yes, it has the same stuff.",Customer
CALL010,81,SPEAKER_1,331.0,332.1,1.1,"Khajuraho, okay.",Agent
CALL010,82,SPEAKER_1,333.2,340.4,7.2,"Okay,  Anurag  Ji,  so  I  will  mention  your  feedback  here.  Thank  you  very  much,  sir,  for  giving  your valuable time.",Agent
