call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
CALL001,1,SPEAKER_0,4.4,4.7,0.3,Hello.,Unknown
CALL001,2,SPEAKER_2,16.5,17.2,0.7,Hello.,Customer
CALL001,3,SPEAKER_1,19.1,23.5,4.4,"Good morning, sir. This is Nagesh calling from the Mahindra and Mahindra Adventure team.",Agent
CALL001,4,SPEAKER_2,23.9,24.4,0.5,Yeah.,Customer
CALL001,5,SPEAKER_1,25.3,28.6,3.3,"Uh, am I speaking with Mr. Cynthia Watts?",Agent
CALL001,6,SPEAKER_2,29.8,31.5,1.7,"Yes, tell me.",Customer
CALL001,7,SPEAKER_1,31.5,39.8,8.3,"Okay. Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences.",Agent
CALL001,8,SPEAKER_2,40.0,40.6,0.6,Hi.,Customer
CALL001,9,SPEAKER_1,40.0,40.4,0.4,Hi.,Agent
CALL001,10,SPEAKER_1,40.6,49.3,8.7,"Uh, sir, this will help us improve future events. So, sir, your response will be kept confidential and used only for analysis purposes.",Agent
CALL001,11,SPEAKER_1,50.3,51.8,1.5,"Sir, can you—",Agent
CALL001,12,SPEAKER_2,53.0,54.8,1.8,We have already given this to you.,Customer
CALL001,13,SPEAKER_1,55.5,59.0,3.5,"Yes, sir, profile questioning. May I know your age, sir?",Agent
CALL001,14,SPEAKER_2,60.0,60.8,0.8,Fifty-one.,Customer
CALL001,15,SPEAKER_1,61.4,65.3,3.9,"Fifty-one, okay. And may I know your profession, sir?",Agent
CALL001,16,SPEAKER_2,66.5,67.2,0.7,Business.,Customer
CALL001,17,SPEAKER_1,67.8,73.2,5.4,"Businessman, right? Okay. How many people are there in your family, sir?",Agent
CALL001,18,SPEAKER_2,75.1,78.4,3.3,"For finishing, first time going out to Goa.",Customer
CALL001,19,SPEAKER_1,78.0,81.6,3.6,"Okay, sir. Which vehicles do you own?",Agent
CALL001,20,SPEAKER_2,83.1,85.6,2.5,I own a Mercedes MTN car.,Customer
CALL001,21,SPEAKER_1,86.3,87.1,0.8,Mercedes.,Agent
