output_version,output_generated_at,sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,item_id,rank,candidate_id,turn_ids,agent_turn_id,candidate_type,retrieval_query,agent_text_for_retrieval,candidate_text,context_text_for_evaluation,key_match_score,retrieval_score,combined_score,retrieval_method,retrieval_error
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP001,1,AW0001,"1,2,3,4,5,6",1,agent_anchored_window,"Hi Sir/Madam, Gm/Ga/Ge I am from adventure team on Mahindra & Mahindra.","Good morning sir, this is Nagesh calling from Mahinda and Mahinda adventure team.","[19.15 - 24.25] Agent: Good morning sir, this is Nagesh calling from Mahinda and Mahinda adventure team.
[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.","[19.15 - 24.25] Agent: Good morning sir, this is Nagesh calling from Mahinda and Mahinda adventure team.
[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.",0.3369,0.6609,0.5475,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP001,2,AW0013,"15,16,17,18,19,20,21",16,agent_anchored_window,"Hi Sir/Madam, Gm/Ga/Ge I am from adventure team on Mahindra & Mahindra.",When was the last time you took part in a Mahindra Adventure activity?,"[83.09 - 85.49] Customer: I own Mercedes-AMG and Saat.
[89.27 - 95.51] Agent: When was the last time you took part in a Mahindra Adventure activity?
[97.99 - 100.18] Agent: Last year okay date yeah month
[102.11 - 108.45] Customer: Yes, I'm waiting. I can't remember what it was. I'm in September 2019.
[108.45 - 114.7] Agent: September right okay sir and which event was it and what location
[115.29 - 118.59] Customer: It was Mahindra SK, 2025, Goa.
[118.98 - 120.48] Agent: Mahindra escape, right?","[83.09 - 85.49] Customer: I own Mercedes-AMG and Saat.
[89.27 - 95.51] Agent: When was the last time you took part in a Mahindra Adventure activity?
[97.99 - 100.18] Agent: Last year okay date yeah month
[102.11 - 108.45] Customer: Yes, I'm waiting. I can't remember what it was. I'm in September 2019.
[108.45 - 114.7] Agent: September right okay sir and which event was it and what location
[115.29 - 118.59] Customer: It was Mahindra SK, 2025, Goa.
[118.98 - 120.48] Agent: Mahindra escape, right?",0.1999,0.617,0.471,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP001,3,AW0003,"2,3,4,5,6,7,8",3,agent_anchored_window,"Hi Sir/Madam, Gm/Ga/Ge I am from adventure team on Mahindra & Mahindra.","Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.","[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.
[53.09 - 53.85] Agent: We have a little you
[55.58 - 58.87] Agent: Yes, sir, profile questioning. May I know your age, sir?","[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.
[53.09 - 53.85] Agent: We have a little you
[55.58 - 58.87] Agent: Yes, sir, profile questioning. May I know your age, sir?",0.1884,0.529,0.4098,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP001,4,AW0022,"30,31,32,33,34,35,36",31,agent_anchored_window,"Hi Sir/Madam, Gm/Ga/Ge I am from adventure team on Mahindra & Mahindra.","Before booking Mahindra Adventure, did you check out any outdoor experiences?","[158.37 - 159.65] Agent: Ok, ok.
[159.67 - 166.13] Agent: Before booking Mahindra Adventure, did you check out any outdoor experiences?
[168.17 - 173.29] Agent: Sir, while you were exploring and deciding,
[173.71 - 179.28] Agent: Who influenced your decision the most? Was it you, your spouse, kids, friends or someone else?
[180.63 - 182.1] Customer: Yes, my dear, very much so.
[182.45 - 183.45] Agent: self, right?
[184.49 - 189.72] Agent: Okay, sir according to you. How early should we inform you before an adventure event?","[158.37 - 159.65] Agent: Ok, ok.
[159.67 - 166.13] Agent: Before booking Mahindra Adventure, did you check out any outdoor experiences?
[168.17 - 173.29] Agent: Sir, while you were exploring and deciding,
[173.71 - 179.28] Agent: Who influenced your decision the most? Was it you, your spouse, kids, friends or someone else?
[180.63 - 182.1] Customer: Yes, my dear, very much so.
[182.45 - 183.45] Agent: self, right?
[184.49 - 189.72] Agent: Okay, sir according to you. How early should we inform you before an adventure event?",0.1999,0.5151,0.4048,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP002,1,AW0013,"15,16,17,18,19,20,21",16,agent_anchored_window,I am from adventure team on Mahindra & Mahindra.,When was the last time you took part in a Mahindra Adventure activity?,"[83.09 - 85.49] Customer: I own Mercedes-AMG and Saat.
[89.27 - 95.51] Agent: When was the last time you took part in a Mahindra Adventure activity?
[97.99 - 100.18] Agent: Last year okay date yeah month
[102.11 - 108.45] Customer: Yes, I'm waiting. I can't remember what it was. I'm in September 2019.
[108.45 - 114.7] Agent: September right okay sir and which event was it and what location
[115.29 - 118.59] Customer: It was Mahindra SK, 2025, Goa.
[118.98 - 120.48] Agent: Mahindra escape, right?","[83.09 - 85.49] Customer: I own Mercedes-AMG and Saat.
[89.27 - 95.51] Agent: When was the last time you took part in a Mahindra Adventure activity?
[97.99 - 100.18] Agent: Last year okay date yeah month
[102.11 - 108.45] Customer: Yes, I'm waiting. I can't remember what it was. I'm in September 2019.
[108.45 - 114.7] Agent: September right okay sir and which event was it and what location
[115.29 - 118.59] Customer: It was Mahindra SK, 2025, Goa.
[118.98 - 120.48] Agent: Mahindra escape, right?",0.2976,0.6718,0.5408,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP002,2,AW0001,"1,2,3,4,5,6",1,agent_anchored_window,I am from adventure team on Mahindra & Mahindra.,"Good morning sir, this is Nagesh calling from Mahinda and Mahinda adventure team.","[19.15 - 24.25] Agent: Good morning sir, this is Nagesh calling from Mahinda and Mahinda adventure team.
[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.","[19.15 - 24.25] Agent: Good morning sir, this is Nagesh calling from Mahinda and Mahinda adventure team.
[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.",0.4142,0.5921,0.5298,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP002,3,AW0022,"30,31,32,33,34,35,36",31,agent_anchored_window,I am from adventure team on Mahindra & Mahindra.,"Before booking Mahindra Adventure, did you check out any outdoor experiences?","[158.37 - 159.65] Agent: Ok, ok.
[159.67 - 166.13] Agent: Before booking Mahindra Adventure, did you check out any outdoor experiences?
[168.17 - 173.29] Agent: Sir, while you were exploring and deciding,
[173.71 - 179.28] Agent: Who influenced your decision the most? Was it you, your spouse, kids, friends or someone else?
[180.63 - 182.1] Customer: Yes, my dear, very much so.
[182.45 - 183.45] Agent: self, right?
[184.49 - 189.72] Agent: Okay, sir according to you. How early should we inform you before an adventure event?","[158.37 - 159.65] Agent: Ok, ok.
[159.67 - 166.13] Agent: Before booking Mahindra Adventure, did you check out any outdoor experiences?
[168.17 - 173.29] Agent: Sir, while you were exploring and deciding,
[173.71 - 179.28] Agent: Who influenced your decision the most? Was it you, your spouse, kids, friends or someone else?
[180.63 - 182.1] Customer: Yes, my dear, very much so.
[182.45 - 183.45] Agent: self, right?
[184.49 - 189.72] Agent: Okay, sir according to you. How early should we inform you before an adventure event?",0.306,0.5739,0.4801,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP002,4,AW0016,"20,21,22,23,24,25,26",21,agent_anchored_window,I am from adventure team on Mahindra & Mahindra.,"Mahindra escape, right?","[115.29 - 118.59] Customer: It was Mahindra SK, 2025, Goa.
[118.98 - 120.48] Agent: Mahindra escape, right?
[121.31 - 125.01] Agent: Sir, how did you first hear about this event?
[126.27 - 129.19] Customer: There is an ad on Facebook
[134.49 - 136.94] Agent: Sorry, sir. What is meant to...
[136.23 - 138.66] Customer: Advertisement. Advertisement and media.
[139.59 - 140.75] Agent: Okay, okay company, right","[115.29 - 118.59] Customer: It was Mahindra SK, 2025, Goa.
[118.98 - 120.48] Agent: Mahindra escape, right?
[121.31 - 125.01] Agent: Sir, how did you first hear about this event?
[126.27 - 129.19] Customer: There is an ad on Facebook
[134.49 - 136.94] Agent: Sorry, sir. What is meant to...
[136.23 - 138.66] Customer: Advertisement. Advertisement and media.
[139.59 - 140.75] Agent: Okay, okay company, right",0.1905,0.5031,0.3937,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP003,1,AW0003,"2,3,4,5,6,7,8",3,agent_anchored_window,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes.,"Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.","[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.
[53.09 - 53.85] Agent: We have a little you
[55.58 - 58.87] Agent: Yes, sir, profile questioning. May I know your age, sir?","[26.47 - 28.5] Agent: Am I speaking with Mr. Cynthia Watts?
[31.38 - 43.69] Agent: Sir, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. Sir, this will help us improve future events.
[44.45 - 49.12] Agent: Your response will be kept confidential and used only for analysis purpose.
[50.37 - 51.67] Agent: This is, uh, getting a little...
[52.29 - 54.66] Customer: We have already given this to them.
[53.09 - 53.85] Agent: We have a little you
[55.58 - 58.87] Agent: Yes, sir, profile questioning. May I know your age, sir?",0.7781,0.7945,0.7888,azure_openai,
run_002,2026-06-22T13:54:56,Booking,A001,Nagesh,Medium,registry_name_match,CALL001,SOP003,2,AW0027,"36,37,38,39,40,41",37,agent_anchored_window,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes.,"Okay, sir. What is the one thing that would make you more likely to subscribe to our adventure event in the future again?","[184.49 - 189.72] Agent: Okay, sir according to you. How early should we inform you before an adventure event?
[195.8 - 203.46] Agent: Okay, sir. What is the one thing that would make you more likely to subscribe to our adventure event in the future again?
[204.25 - 207.85] Customer: Already subscribed. Already subscribed, man. Already subscribed.
[208.3 - 210.31] Agent: Already subscribers, okay
[210.6 - 213.55] Agent: Thank you sir. Have a nice day. You are welcome.
[215.51 - 216.3] Customer: Thank you.","[184.49 - 189.72] Agent: Okay, sir according to you. How early should we inform you before an adventure event?
[195.8 - 203.46] Agent: Okay, sir. What is the one thing that would make you more likely to subscribe to our adventure event in the future again?
[204.25 - 207.85] Customer: Already subscribed. Already subscribed, man. Already subscribed.
[208.3 - 210.31] Agent: Already subscribers, okay
[210.6 - 213.55] Agent: Thank you sir. Have a nice day. You are welcome.
[215.51 - 216.3] Customer: Thank you.",0.1938,0.4692,0.3728,azure_openai,
