output_version,output_generated_at,sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,1,SPEAKER_01,4.38,7.57,3.19,"Hey, Rocky, Rocky, Rocky, Rocky, Rocky, Rocky.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,2,SPEAKER_01,11.02,14.75,3.73,"Good morning, Sneha. This is Mahindra from Mahindra Adventure Team.",Agent,Positive,0.6369,0.394,0.606,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,3,SPEAKER_00,15.72,16.53,0.81,"Thank you, Polina.",Customer,Positive,0.3612,0.556,0.444,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,4,SPEAKER_01,18.1,20.1,2.0,I am talking to Patil Sharma,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,5,SPEAKER_01,22.41,23.89,1.48,Thank you for confirming,Agent,Positive,0.3612,0.455,0.545,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,6,SPEAKER_01,24.67,35.99,11.32,"So, sir, this call is a small feedback call so that we can understand our customer preference and make our adventure experience even better for future events. Okay?",Agent,Positive,0.7269,0.221,0.779,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,7,SPEAKER_01,38.74,42.2,3.46,"Sir, I would like to take your basic details so that I can know your age.",Agent,Positive,0.3612,0.143,0.857,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,8,SPEAKER_01,44.63,46.96,2.33,"Sir, your profession?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,9,SPEAKER_00,48.46,50.96,2.5,"Yes, I am in the telecom industry.",Customer,Positive,0.4019,0.31,0.69,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,10,SPEAKER_01,52.61,55.25,2.64,How many members are there in your family?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,11,SPEAKER_01,58.65,61.95,3.3,"Sir, which vehicle do you have in 4-wheeler?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,12,SPEAKER_00,62.67,64.39,1.72,I have been waiting for you for a long time.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,13,SPEAKER_01,65.12,65.93,0.81,See you tomorrow!,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,14,SPEAKER_01,68.07,69.76,1.69,"Okay, hot rocks",Agent,Positive,0.2263,0.487,0.513,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,15,SPEAKER_00,71.07,72.41,1.34,"No, this is awesome. It's free to order.",Customer,Positive,0.8126,0.552,0.448,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,16,SPEAKER_01,72.41,79.5,7.09,"Sir, where did you see the Mahindra Adventure event first, like Instagram, Facebook etc?",Agent,Positive,0.5859,0.286,0.714,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,17,SPEAKER_00,80.2,82.4,2.2,"I would not have been able to do it, but I went to the event 2-3 times.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,18,SPEAKER_01,87.16,94.65,7.49,"Sir, you had not subscribed to Mahindra's Adventure Event, right? So, you had...",Agent,Positive,0.3182,0.161,0.839,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,19,SPEAKER_00,93.86,96.0,2.14,I participated in Mahendra's event.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,20,SPEAKER_01,99.27,100.56,1.29,For which location sir?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,21,SPEAKER_00,101.55,107.32,5.77,I have been to your academy as well and I have been to your normal events as well.,Customer,Positive,0.4939,0.208,0.792,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,22,SPEAKER_01,110.97,118.41,7.44,"Actually sir, you have inquired about this call, but for some reason you did not subscribe, so regarding that you have been called.",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,23,SPEAKER_00,118.09,122.07,3.98,"That became a short plan regarding my weekend, so I couldn't do it.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,24,SPEAKER_00,122.83,125.24,2.41,"But if there's any other work that's coming up, I won't be able to tell you.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,25,SPEAKER_01,128.28,133.12,4.84,"So, that's why you didn't subscribe, right? So, which event were you watching at that time?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,26,SPEAKER_00,134.04,140.43,6.39,"Ma'am, I don't remember that, but there was an event on 22nd February. Which location?",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,27,SPEAKER_01,139.32,140.6,1.28,What is the location?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,28,SPEAKER_00,141.68,143.32,1.64,"Yes, I went to Mumbai.",Customer,Positive,0.4019,0.403,0.597,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,29,SPEAKER_01,143.94,152.38,8.44,It was in Mumbai. Where did you see Mahendra's first adventure event? I followed her on Instagram. I followed her on Instagram.,Agent,Positive,0.3182,0.099,0.901,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,30,SPEAKER_00,151.23,154.74,3.51,"I follow you on Instagram, keep coming to me.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,31,SPEAKER_01,154.13,157.59,3.46,"Okay, I saw it on my Instagram.",Agent,Positive,0.2263,0.241,0.759,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,32,SPEAKER_01,159.16,162.13,2.97,Can you tell me the name of this adventure?,Agent,Positive,0.3869,0.247,0.753,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,33,SPEAKER_00,163.35,164.63,1.28,I don't remember the name.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,34,SPEAKER_00,165.41,168.11,2.7,"Now let's check in our calendar, what does this guy do?",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,35,SPEAKER_01,169.14,179.87,10.73,"Sir, when you cancelled your plan, were you watching any other outdoor event at that time?",Agent,Negative,-0.25,0.0,0.882,0.118,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,36,SPEAKER_00,180.46,182.45,1.99,"No, I don't think so.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,37,SPEAKER_01,182.74,196.96,14.22,"Sir, what do you think, how long should we inform if the adventure event is going on? So, before we inform, how long should we inform? Like, less than one week or one to two weeks?",Agent,Positive,0.6531,0.136,0.864,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,38,SPEAKER_00,197.97,211.49,13.52,"What about 2 to 4 weeks? After 4 weeks, you have to inform the headmaster that something like this is going to happen. If it doesn't happen at the last moment, then people won't be able to plan accordingly. If it happens at the last moment, then some other plan will also come out.",Customer,Positive,0.3612,0.045,0.955,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,39,SPEAKER_01,212.05,215.93,3.88,"Right, so you should inform us 4 weeks back, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,40,SPEAKER_01,216.74,221.53,4.79,What are the things that should be improved so that you can move forward in the future?,Agent,Positive,0.4767,0.162,0.838,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,41,SPEAKER_01,222.41,223.3,0.89,Subscribe to our channel,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,42,SPEAKER_00,225.16,229.72,4.56,"Ma'am, your outdoor events like the escape from Pune, right?",Customer,Positive,0.4939,0.344,0.656,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,43,SPEAKER_00,231.22,249.6,18.38,"I don't think Mahindra did it directly, I don't know who organized it with you, I don't remember the name, but the car was so heavy that it used to come to every spot and the car would just stand for 45 minutes.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,44,SPEAKER_00,250.44,252.26,1.82,That was a major turn-off for us.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,45,SPEAKER_01,253.98,254.96,0.98,"Ok, so...",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,46,SPEAKER_00,254.76,258.88,4.12,"Like if a car is getting stuck in the front, then in the back it is completely...",Customer,Positive,0.128,0.128,0.769,0.103,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,47,SPEAKER_00,259.43,260.85,1.42,and all the people who live there.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,48,SPEAKER_01,268.77,273.0,4.23,"So, in your opinion, the management should be proper, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_001,2026-06-17T17:21:56,Other,A011,Unknown Agent CALL007,Not Found,unknown_agent_new,CALL007,49,SPEAKER_01,277.35,285.62,8.27,"Ok Sharma ji, I will mention your feedback here. Thank you very much for your valuable time. Have a nice day.",Agent,Positive,0.8625,0.384,0.616,0.0,No,,False,,,,
