output_version,output_generated_at,sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,1,SPEAKER_1,8.0,9.7,1.7,"Hi, Madam. Good afternoon.",Agent,Positive,0.4404,0.492,0.508,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,2,SPEAKER_2,10.2,10.6,0.4,Speak.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,3,SPEAKER_1,11.0,17.7,6.7,"I  am  Shashikant,  calling  from  the  Mahindra  and  Mahindra  Adventure  team.  Am  I  speaking  with  Miss",Agent,Positive,0.1779,0.128,0.782,0.089,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,4,SPEAKER_0,18.3,18.6,0.3,Yes.,Unknown,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,5,SPEAKER_1,19.7,30.8,11.1,"Yes,  Miss  Priyanka  Patil.  We  are  conducting  a  short  feedback  exercise  to  understand  our  customers’",Agent,Positive,0.2732,0.156,0.751,0.092,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,6,SPEAKER_1,30.9,40.3,9.4,It will take hardly eight to ten minutes. Your feedback will be kept confidential and used only for analysis,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,7,SPEAKER_2,41.5,42.3,0.8,What is it?,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,8,SPEAKER_1,42.8,45.7,2.9,"Yes, Miss Priyanka, can you confirm your age group?",Agent,Positive,0.2732,0.239,0.619,0.142,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,9,SPEAKER_2,46.9,48.3,1.4,Forty-two.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,10,SPEAKER_1,48.7,53.2,4.5,Forty-two. And what is your profession? Are you salaried or self-employed?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,11,SPEAKER_1,56.0,57.3,1.3,"Okay, self-employed, right?",Agent,Positive,0.2263,0.487,0.513,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,12,SPEAKER_1,58.3,62.2,3.9,You are a doctor. How many people are there in your family?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,13,SPEAKER_2,62.9,63.2,0.3,Three.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,14,SPEAKER_1,64.0,66.6,2.6,Three. And which vehicle do you own?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,15,SPEAKER_2,68.3,69.2,0.9,Mahindra Thar.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,16,SPEAKER_1,70.2,77.5,7.3,"Mahindra Thar, right? When was the last time you participated in a Mahindra adventure activity?",Agent,Positive,0.3939,0.16,0.84,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,17,SPEAKER_2,78.9,83.8,4.9,"I think, yes, yes, this monsoon.",Customer,Positive,0.6597,0.574,0.426,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,18,SPEAKER_1,84.7,85.9,1.2,"Okay, which month was it?",Agent,Positive,0.2263,0.322,0.678,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,19,SPEAKER_2,85.0,86.0,1.0,Which month?,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,20,SPEAKER_2,87.4,89.0,1.6,Red Square was also in Pune at that time.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,21,SPEAKER_1,90.2,92.8,2.6,You mean...,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,22,SPEAKER_2,91.6,92.4,0.8,Opium.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,23,SPEAKER_1,93.0,95.8,2.8,When was it? Hello?,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,24,SPEAKER_2,95.4,98.3,2.9,"Hello, when was the escape to Pune? There was a Great Escape to Pune, right?",Customer,Positive,0.782,0.396,0.604,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,25,SPEAKER_1,98.7,104.1,5.4,"You went to Pune for a Great Escape, right? Do you remember the month or anything?",Agent,Positive,0.7319,0.306,0.694,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,26,SPEAKER_2,105.2,108.7,3.5,"It's August, August or September.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,27,SPEAKER_1,109.1,110.8,1.7,"It was August, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,28,SPEAKER_2,111.4,112.0,0.6,Hmm.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,29,SPEAKER_1,112.0,114.8,2.8,Okay. Where did you hear about this event?,Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,30,SPEAKER_2,116.3,120.5,4.2,"I heard it from Mahindra people. Was it on the internet, on Instagram?",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,31,SPEAKER_1,121.0,122.8,1.8,"You saw it on Instagram, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,32,SPEAKER_2,123.2,123.6,0.4,Hmm.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,33,SPEAKER_1,123.8,134.1,10.3,"Okay. So, you were interested in this. I mean, for the booking, right? What approach did you take to",Agent,Positive,0.5574,0.213,0.787,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,34,SPEAKER_2,134.1,148.4,14.3,"Actually, what happened was, we had an event. I think it was a trail hunt in Nashik. Yes, yes, in Igatpuri.",Customer,Positive,0.6597,0.221,0.779,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,35,SPEAKER_1,141.1,141.6,0.5,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,36,SPEAKER_1,142.4,143.6,1.2,"Yes, yes, in Igatpuri.",Agent,Positive,0.6597,0.73,0.27,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,37,SPEAKER_1,146.3,146.8,0.5,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,38,SPEAKER_1,149.2,149.7,0.5,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,39,SPEAKER_2,149.7,158.1,8.4,"We were told it would be reimbursed. If you conduct any Mahindra event in the future, your money will",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,40,SPEAKER_1,156.3,156.7,0.4,Hmm.,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,41,SPEAKER_1,158.6,159.2,0.6,Okay.,Agent,Positive,0.2263,1.0,0.0,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,42,SPEAKER_2,159.3,167.7,8.4,"We were told we had to attend a safety course for our daughter's rifle, but we couldn't attend because",Customer,Positive,0.2263,0.095,0.905,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,43,SPEAKER_1,168.2,169.4,1.2,"Okay, yes, correct.",Agent,Positive,0.5574,0.821,0.179,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,44,SPEAKER_2,168.3,174.4,6.1,"Yes, that's right. They said your reimbursement would happen. Then we went to the trail and the Great",Customer,Positive,0.7783,0.298,0.702,0.0,No,,False,,,,
run_003,2026-07-02T16:35:33,Booking,A003,Shashikant,High,registry_name_match,CALL003,45,SPEAKER_1,174.7,175.2,0.5,Hmm hmm.,Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
