output_version,output_generated_at,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
run_003,2026-07-02T16:35:33,CALL003,1,SPEAKER_1,8.0,9.7,1.7,"Hi, Madam. Good afternoon.",Agent
run_003,2026-07-02T16:35:33,CALL003,2,SPEAKER_2,10.2,10.6,0.4,Speak.,Customer
run_003,2026-07-02T16:35:33,CALL003,3,SPEAKER_1,11.0,17.7,6.7,"I  am  Shashikant,  calling  from  the  Mahindra  and  Mahindra  Adventure  team.  Am  I  speaking  with  Miss",Agent
run_003,2026-07-02T16:35:33,CALL003,4,SPEAKER_0,18.3,18.6,0.3,Yes.,Unknown
run_003,2026-07-02T16:35:33,CALL003,5,SPEAKER_1,19.7,30.8,11.1,"Yes,  Miss  Priyanka  Patil.  We  are  conducting  a  short  feedback  exercise  to  understand  our  customers’",Agent
run_003,2026-07-02T16:35:33,CALL003,6,SPEAKER_1,30.9,40.3,9.4,It will take hardly eight to ten minutes. Your feedback will be kept confidential and used only for analysis,Agent
run_003,2026-07-02T16:35:33,CALL003,7,SPEAKER_2,41.5,42.3,0.8,What is it?,Customer
run_003,2026-07-02T16:35:33,CALL003,8,SPEAKER_1,42.8,45.7,2.9,"Yes, Miss Priyanka, can you confirm your age group?",Agent
run_003,2026-07-02T16:35:33,CALL003,9,SPEAKER_2,46.9,48.3,1.4,Forty-two.,Customer
run_003,2026-07-02T16:35:33,CALL003,10,SPEAKER_1,48.7,53.2,4.5,Forty-two. And what is your profession? Are you salaried or self-employed?,Agent
run_003,2026-07-02T16:35:33,CALL003,11,SPEAKER_1,56.0,57.3,1.3,"Okay, self-employed, right?",Agent
run_003,2026-07-02T16:35:33,CALL003,12,SPEAKER_1,58.3,62.2,3.9,You are a doctor. How many people are there in your family?,Agent
run_003,2026-07-02T16:35:33,CALL003,13,SPEAKER_2,62.9,63.2,0.3,Three.,Customer
run_003,2026-07-02T16:35:33,CALL003,14,SPEAKER_1,64.0,66.6,2.6,Three. And which vehicle do you own?,Agent
run_003,2026-07-02T16:35:33,CALL003,15,SPEAKER_2,68.3,69.2,0.9,Mahindra Thar.,Customer
run_003,2026-07-02T16:35:33,CALL003,16,SPEAKER_1,70.2,77.5,7.3,"Mahindra Thar, right? When was the last time you participated in a Mahindra adventure activity?",Agent
run_003,2026-07-02T16:35:33,CALL003,17,SPEAKER_2,78.9,83.8,4.9,"I think, yes, yes, this monsoon.",Customer
run_003,2026-07-02T16:35:33,CALL003,18,SPEAKER_1,84.7,85.9,1.2,"Okay, which month was it?",Agent
run_003,2026-07-02T16:35:33,CALL003,19,SPEAKER_2,85.0,86.0,1.0,Which month?,Customer
run_003,2026-07-02T16:35:33,CALL003,20,SPEAKER_2,87.4,89.0,1.6,Red Square was also in Pune at that time.,Customer
run_003,2026-07-02T16:35:33,CALL003,21,SPEAKER_1,90.2,92.8,2.6,You mean...,Agent
run_003,2026-07-02T16:35:33,CALL003,22,SPEAKER_2,91.6,92.4,0.8,Opium.,Customer
run_003,2026-07-02T16:35:33,CALL003,23,SPEAKER_1,93.0,95.8,2.8,When was it? Hello?,Agent
run_003,2026-07-02T16:35:33,CALL003,24,SPEAKER_2,95.4,98.3,2.9,"Hello, when was the escape to Pune? There was a Great Escape to Pune, right?",Customer
run_003,2026-07-02T16:35:33,CALL003,25,SPEAKER_1,98.7,104.1,5.4,"You went to Pune for a Great Escape, right? Do you remember the month or anything?",Agent
run_003,2026-07-02T16:35:33,CALL003,26,SPEAKER_2,105.2,108.7,3.5,"It's August, August or September.",Customer
run_003,2026-07-02T16:35:33,CALL003,27,SPEAKER_1,109.1,110.8,1.7,"It was August, right?",Agent
run_003,2026-07-02T16:35:33,CALL003,28,SPEAKER_2,111.4,112.0,0.6,Hmm.,Customer
run_003,2026-07-02T16:35:33,CALL003,29,SPEAKER_1,112.0,114.8,2.8,Okay. Where did you hear about this event?,Agent
run_003,2026-07-02T16:35:33,CALL003,30,SPEAKER_2,116.3,120.5,4.2,"I heard it from Mahindra people. Was it on the internet, on Instagram?",Customer
run_003,2026-07-02T16:35:33,CALL003,31,SPEAKER_1,121.0,122.8,1.8,"You saw it on Instagram, right?",Agent
run_003,2026-07-02T16:35:33,CALL003,32,SPEAKER_2,123.2,123.6,0.4,Hmm.,Customer
run_003,2026-07-02T16:35:33,CALL003,33,SPEAKER_1,123.8,134.1,10.3,"Okay. So, you were interested in this. I mean, for the booking, right? What approach did you take to",Agent
run_003,2026-07-02T16:35:33,CALL003,34,SPEAKER_2,134.1,148.4,14.3,"Actually, what happened was, we had an event. I think it was a trail hunt in Nashik. Yes, yes, in Igatpuri.",Customer
run_003,2026-07-02T16:35:33,CALL003,35,SPEAKER_1,141.1,141.6,0.5,Okay.,Agent
run_003,2026-07-02T16:35:33,CALL003,36,SPEAKER_1,142.4,143.6,1.2,"Yes, yes, in Igatpuri.",Agent
run_003,2026-07-02T16:35:33,CALL003,37,SPEAKER_1,146.3,146.8,0.5,Okay.,Agent
run_003,2026-07-02T16:35:33,CALL003,38,SPEAKER_1,149.2,149.7,0.5,Okay.,Agent
run_003,2026-07-02T16:35:33,CALL003,39,SPEAKER_2,149.7,158.1,8.4,"We were told it would be reimbursed. If you conduct any Mahindra event in the future, your money will",Customer
run_003,2026-07-02T16:35:33,CALL003,40,SPEAKER_1,156.3,156.7,0.4,Hmm.,Agent
run_003,2026-07-02T16:35:33,CALL003,41,SPEAKER_1,158.6,159.2,0.6,Okay.,Agent
run_003,2026-07-02T16:35:33,CALL003,42,SPEAKER_2,159.3,167.7,8.4,"We were told we had to attend a safety course for our daughter's rifle, but we couldn't attend because",Customer
run_003,2026-07-02T16:35:33,CALL003,43,SPEAKER_1,168.2,169.4,1.2,"Okay, yes, correct.",Agent
run_003,2026-07-02T16:35:33,CALL003,44,SPEAKER_2,168.3,174.4,6.1,"Yes, that's right. They said your reimbursement would happen. Then we went to the trail and the Great",Customer
run_003,2026-07-02T16:35:33,CALL003,45,SPEAKER_1,174.7,175.2,0.5,Hmm hmm.,Agent
run_003,2026-07-02T16:35:33,CALL003,46,SPEAKER_2,174.7,184.8,10.1,"Nothing happened. Our reimbursement didn't happen, and the grade wasn't very good either. We also",Customer
run_003,2026-07-02T16:35:33,CALL003,47,SPEAKER_1,179.3,179.8,0.5,Okay.,Agent
run_003,2026-07-02T16:35:33,CALL003,48,SPEAKER_1,182.3,183.0,0.7,Okay.,Agent
run_003,2026-07-02T16:35:33,CALL003,49,SPEAKER_1,183.7,184.2,0.5,Yes.,Agent
