batch_output_version,batch_output_generated_at,category,sub_category,total_sop_items,applicable_sop_items,confirmed_count,review_suggested_count,missed_count,not_applicable_count,coverage_pct,missed_pct,affected_call_count
run_003,2026-07-03T12:29:56,Closure,Subscription Timing,5,5,0,0,5,0,0.0,100.0,5
run_003,2026-07-03T12:29:56,Survey,Initial Interest,5,5,3,0,2,0,60.0,40.0,5
run_003,2026-07-03T12:29:56,Closure,Future Expectations,10,10,7,1,2,0,80.0,20.0,5
run_003,2026-07-03T12:29:56,Opening,Greeting,10,10,8,0,2,0,80.0,20.0,10
run_003,2026-07-03T12:29:56,Closure,Subscription Motivation,5,5,4,0,1,0,80.0,20.0,5
run_003,2026-07-03T12:29:56,Survey,Reasons for Not Subscribing,5,5,4,0,1,0,80.0,20.0,5
run_003,2026-07-03T12:29:56,Opening,Identity Confirmation,10,10,9,0,1,0,90.0,10.0,10
run_003,2026-07-03T12:29:56,Opening,Consent,5,5,5,0,0,0,100.0,0.0,5
run_003,2026-07-03T12:29:56,Opening,Purpose Explanation,10,10,9,1,0,0,100.0,0.0,10
run_003,2026-07-03T12:29:56,Survey,Awareness,5,5,5,0,0,0,100.0,0.0,5
run_003,2026-07-03T12:29:56,Survey,Awareness and Interest,35,25,25,0,0,10,100.0,0.0,5
run_003,2026-07-03T12:29:56,Survey,Basic Information,40,40,40,0,0,0,100.0,0.0,10
run_003,2026-07-03T12:29:56,Survey,Future Expectations,5,5,5,0,0,0,100.0,0.0,5
run_003,2026-07-03T12:29:56,Survey,Other Outdoor Experiences,15,5,5,0,0,10,100.0,0.0,5
