call_id,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_type,sop_call_type,sop_file,item_id,sequence_order,category,sub_category,item_text,retrieval_query,agent_action,expected_agent_utterance,expected_intent,condition_type,condition_text,condition_trigger,condition_trigger_keywords,condition_source_item_id,condition_source_item_hint,condition_outcome_if_not_met,applicability_status,applicability_reason,status,rule_status,judge_used,llm_confidence,llm_reason,key_match_score,retrieval_score,combined_score,retrieval_method,retrieval_error,evidence_turn_ids,evidence_agent_turn_id,agent_evidence,evidence,reason
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP001,1,Opening,Greeting,Greet the customer politely,"Hi Sir/Madam, Gm/Ga/Ge I am from adventure team on Mahindra & Mahindra.",greet,"Hi Sir/Madam, Gm/Ga/Ge I am _____ from adventure team on Mahindra & Mahindra.",greeting,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,0.9,Agent greeted the customer politely with 'Good evening. This is Sakshi calling you from Mahindra's Adventure team.' which matches the expected greeting intent and practical meaning.,0.4433,0.6458,0.5749,azure_openai,,"1,2,3,4,5,6,7",2,Good evening. This is Sakshi calling you from Mahindra's Adventure team. Am I speaking with Mr. Drishti Ruparaj?,"[5.1 - 5.7] Customer: Hello.
[7.0 - 13.6] Agent: Good evening. This is Sakshi calling you from Mahindra's Adventure team. Am I speaking with Mr. Drishti Ruparaj?
[13.9 - 15.2] Customer: Yeah, Drishti, yes.
[15.7 - 32.8] Agent: Yes,  we  are  conducting  a  short  feedback  exercise  to  understand  customer  preferences  for  adventure experiences. This will help us improve our future events. It will take about 8 to 10 minutes. Your responses will be kept confidential and used for analysis purposes only. So, is this a convenient time to speak with you now, ma'am?
[21.7 - 22.0] Customer: Right.
[30.8 - 31.0] Customer: Okay.
[33.4 - 34.9] Customer: Yeah, yeah, please tell me. Okay.",Agent greeted the customer politely with 'Good evening. This is Sakshi calling you from Mahindra's Adventure team.' which matches the expected greeting intent and practical meaning.
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP002,2,Opening,Explain Purpose,Explain the purpose and duration of the call,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes. Your responses will be kept confidential and used only for analysis purposes.,explain_purpose,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes. Your responses will be kept confidential and used only for analysis purposes.,explain_purpose,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,"Agent clearly explained the purpose of the call as a short feedback exercise to understand customer preferences for adventure experiences, mentioned it will help improve future events, stated the call duration as about 8 to 10 minutes, and assured confidentiality of responses.",0.9045,0.8624,0.8771,azure_openai,,"3,4,5,6,7,8,9",4,"Yes,  we  are  conducting  a  short  feedback  exercise  to  understand  customer  preferences  for  adventure experiences. This will help us improve our future events. It will take about 8 to 10 minutes. Your responses will be kept confidential and used for analysis purposes only. So, is this a convenient time to speak with you now, ma'am?","[13.9 - 15.2] Customer: Yeah, Drishti, yes.
[15.7 - 32.8] Agent: Yes,  we  are  conducting  a  short  feedback  exercise  to  understand  customer  preferences  for  adventure experiences. This will help us improve our future events. It will take about 8 to 10 minutes. Your responses will be kept confidential and used for analysis purposes only. So, is this a convenient time to speak with you now, ma'am?
[21.7 - 22.0] Customer: Right.
[30.8 - 31.0] Customer: Okay.
[33.4 - 34.9] Customer: Yeah, yeah, please tell me. Okay.
[34.5 - 40.5] Agent: Okay,  thank  you  so  much,  ma'am,  for  your  valuable  time.  We  would  like  to  start  with  your  basic information. So, may I know your age?
[41.4 - 42.0] Customer: Twenty-six.","Agent clearly explained the purpose of the call as a short feedback exercise to understand customer preferences for adventure experiences, mentioned it will help improve future events, stated the call duration as about 8 to 10 minutes, and assured confidentiality of responses."
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP003,3,Survey,Basic Info,Ask for customer's basic information,"Sir/Mam, we would start with your basic info, Age Profession How many people are there in your family Which vehicle/vehicles do you own?",ask_question,"Sir/Mam, we would start with your basic info, Age Profession How many people are there in your family Which vehicle/vehicles do you own?",collect_basic_info,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,1.0,"Agent explicitly asked for age, profession, number of family members, and vehicle ownership, covering all parts of the basic info checklist item.",0.3682,0.5386,0.479,azure_openai,,"7,8,9,10,11,12,13",8,"Okay,  thank  you  so  much,  ma'am,  for  your  valuable  time.  We  would  like  to  start  with  your  basic information. So, may I know your age?","[33.4 - 34.9] Customer: Yeah, yeah, please tell me. Okay.
[34.5 - 40.5] Agent: Okay,  thank  you  so  much,  ma'am,  for  your  valuable  time.  We  would  like  to  start  with  your  basic information. So, may I know your age?
[41.4 - 42.0] Customer: Twenty-six.
[42.6 - 49.0] Agent: Okay,  and  ma'am,  if  you  don't  mind,  may  I  know  your  profession?  Are  you  a  businesswoman, self-employed, or salaried?
[49.1 - 50.2] Customer: Business.
[50.6 - 54.3] Agent: Business, okay. And how many people are there in your immediate family?
[55.3 - 56.5] Customer: Five.","Agent explicitly asked for age, profession, number of family members, and vehicle ownership, covering all parts of the basic info checklist item."
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP004,4,Survey,Adventure Participation,Ask when customer last took part in an Adventure activity and which event,When was the last time you took part in a Mahindra Adventure activity? And which event was it?,ask_question,When was the last time you took part in a Mahindra Adventure activity? And which event was it?,ask_last_participation,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,Agent explicitly asked when the customer last took part in Mahindra's adventure activity and which event it was.,0.7706,0.9194,0.8673,azure_openai,,"17,18,19,20,21,22,23",18,"Okay, and when was the last time you took part in Mahindra's adventure activity?","[63.6 - 64.1] Customer: Yeah.
[64.5 - 68.8] Agent: Okay, and when was the last time you took part in Mahindra's adventure activity?
[69.3 - 73.0] Customer: I think last, last...
[74.2 - 81.2] Customer: Whatever happened in, um, I don't remember the place, but I've been to Igatpuri and the following one.
[82.3 - 84.4] Agent: Okay, Igatpuri. You went to Igatpuri?
[84.8 - 85.2] Customer: Yes.
[85.5 - 87.8] Agent: Okay, and which event was it?",Agent explicitly asked when the customer last took part in Mahindra's adventure activity and which event it was.
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP005,5,Survey,Awareness Source,Ask how customer first heard about the event,How did you first hear about this event?,ask_question,How did you first hear about this event?,ask_awareness_source,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,Agent explicitly asked 'And how did you first hear about this event?' matching the SOP intent ask_awareness_source.,0.945,0.7699,0.8312,azure_openai,,"24,25,26,27,28,29,30",25,"Okay, it's alright. And how did you first hear about this event?","[88.6 - 91.4] Customer: I don't remember because it's almost been 6 to 8 months.
[92.1 - 95.8] Agent: Okay, it's alright. And how did you first hear about this event?
[96.5 - 101.4] Customer: My elder brother found it. He is the one who is always on the lookout for such events. That's why.
[101.2 - 107.5] Agent: Okay, okay. And what made you feel interested enough to subscribe or book this adventure event?
[107.5 - 122.5] Customer: Of course, we saw so many videos and all of that. The feedback was also really nice. So, we thought we'd go ahead since we own a vehicle that we don't usually try off-roading with and all of that. So, under the guidance of you guys, of course.
[114.2 - 114.7] Agent: Okay.
[120.5 - 121.1] Agent: Okay.",Agent explicitly asked 'And how did you first hear about this event?' matching the SOP intent ask_awareness_source.
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP006,6,Survey,Interest Reasons,Ask what made customer interested enough to subscribe/book the event,What made you feel interested enough to subscribe/book this Adventure event?,ask_question,What made you feel interested enough to subscribe/book this Adventure event?,ask_interest_reasons,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,Agent explicitly asked what made the customer interested enough to subscribe or book the adventure event using practically the same question.,0.9746,0.8962,0.9236,azure_openai,,"26,27,28,29,30,31,32",27,"Okay, okay. And what made you feel interested enough to subscribe or book this adventure event?","[96.5 - 101.4] Customer: My elder brother found it. He is the one who is always on the lookout for such events. That's why.
[101.2 - 107.5] Agent: Okay, okay. And what made you feel interested enough to subscribe or book this adventure event?
[107.5 - 122.5] Customer: Of course, we saw so many videos and all of that. The feedback was also really nice. So, we thought we'd go ahead since we own a vehicle that we don't usually try off-roading with and all of that. So, under the guidance of you guys, of course.
[114.2 - 114.7] Agent: Okay.
[120.5 - 121.1] Agent: Okay.
[123.1 - 129.9] Agent: Okay, ma'am, and before booking Mahindra's Adventure, did you check out any other experiences, like outdoor experiences too?
[130.4 - 131.1] Customer: Hmm hmm.",Agent explicitly asked what made the customer interested enough to subscribe or book the adventure event using practically the same question.
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP007,7,Survey,Other Outdoor Experiences,Ask if customer checked out other outdoor experiences before booking,"Before booking Mahindra Adventure, did you check out any other outdoor experiences?",ask_question,"Before booking Mahindra Adventure, did you check out any other outdoor experiences? (Yes/No)",ask_other_outdoor_experiences,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,"Agent explicitly asked if the customer checked out any other experiences, like outdoor experiences, before booking Mahindra's Adventure.",0.9525,0.9011,0.9191,azure_openai,,"30,31,32,33,34,35,36",31,"Okay, ma'am, and before booking Mahindra's Adventure, did you check out any other experiences, like outdoor experiences too?","[120.5 - 121.1] Agent: Okay.
[123.1 - 129.9] Agent: Okay, ma'am, and before booking Mahindra's Adventure, did you check out any other experiences, like outdoor experiences too?
[130.4 - 131.1] Customer: Hmm hmm.
[131.5 - 133.2] Agent: Okay, so you didn't, right?
[133.2 - 133.5] Customer: Hmm.
[133.3 - 138.8] Agent: And while you were exploring and deciding, who influenced your decision the most?
[140.0 - 146.4] Customer: Um, no one in particular. It could be that we were, we are like 40 years old.","Agent explicitly asked if the customer checked out any other experiences, like outdoor experiences, before booking Mahindra's Adventure."
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP008,8,Survey,Other Outdoor Experiences Details,"If Yes, ask which other outdoor experiences and where heard about them","Which other ones, did you look at? And where did you hear about these other outdoor events?",ask_question,"Which other ones, did you look at? And where did you hear about these other outdoor events?",ask_other_outdoor_experience_details,depends_on_customer_answer,Proceed if customer answers Yes to checking other outdoor experiences,Yes,Yes,SOP007,Ask if customer checked out other outdoor experiences before booking,Not Applicable,Not Applicable,Condition trigger not found in customer text.,Not Applicable,Not Applicable,No,,,0.0,0.0,0.0,not_applicable,,,,,,Condition trigger not found in customer text.
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP009,9,Survey,Decision Influence,Ask who influenced customer's decision the most,"While you were exploring and deciding, who influenced your decision the most? Was it you, your spouse, kids, friends, or someone else?",ask_question,"While you were exploring and deciding, who influenced your decision the most? Was it you, your spouse, kids, friends, or someone else?",ask_decision_influence,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,"Agent explicitly asked who influenced the customer's decision the most, including options like spouse, friends, or someone else, matching the expected intent and practical meaning.",0.632,0.8629,0.7821,azure_openai,,"34,35,36,37,38,39,40",35,"And while you were exploring and deciding, who influenced your decision the most?","[133.2 - 133.5] Customer: Hmm.
[133.3 - 138.8] Agent: And while you were exploring and deciding, who influenced your decision the most?
[140.0 - 146.4] Customer: Um, no one in particular. It could be that we were, we are like 40 years old.
[144.2 - 146.4] Agent: Okay, like was it your
[146.4 - 149.0] Agent: spouse, friends, or someone else?
[149.2 - 150.3] Customer: No, no, no.
[150.7 - 152.6] Agent: Okay, so it was you only, right?","Agent explicitly asked who influenced the customer's decision the most, including options like spouse, friends, or someone else, matching the expected intent and practical meaning."
CALL002,A002,Sakshi,Medium,registry_name_match,Booker Adventure Feedback,Booking,Mahindra Adventure booker questionnaire.docx,SOP010,10,Survey,Future Expectations,Ask how early customer wants to be informed before an adventure event,"According to you, how early should we inform you before an adventure event?",ask_question,"According to you, how early should we inform you before an adventure event?",ask_advance_notification_timing,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,"Agent explicitly asked, 'And according to you, how early should we inform you before an adventure event?' which matches the SOP checklist item intent and expected utterance.",0.9933,0.9769,0.9826,azure_openai,,"41,42,43,44,45,46,47",42,"And according to you, how early should we inform you before an adventure event?","[152.7 - 153.1] Customer: Right.
[153.5 - 157.6] Agent: And according to you, how early should we inform you before an adventure event?
[158.3 - 161.7] Customer: Probably like a month ago, or a month or two.
[162.1 - 164.7] Agent: Okay, it takes a month or two months, right?
[164.4 - 164.8] Customer: Yes.
[164.8 - 171.0] Agent: And what is the one thing that would make you more likely to subscribe to our adventure events in the future again?
[172.2 - 176.9] Customer: I feel you guys are holding it really well. There's no change that I would like to see.","Agent explicitly asked, 'And according to you, how early should we inform you before an adventure event?' which matches the SOP checklist item intent and expected utterance."
