call_id,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_type,sop_call_type,sop_file,item_id,sequence_order,category,sub_category,item_text,retrieval_query,agent_action,expected_agent_utterance,expected_intent,condition_type,condition_text,condition_trigger,condition_trigger_keywords,condition_source_item_id,condition_source_item_hint,condition_outcome_if_not_met,applicability_status,applicability_reason,status,rule_status,judge_used,llm_confidence,llm_reason,key_match_score,retrieval_score,combined_score,retrieval_method,retrieval_error,evidence_turn_ids,evidence_agent_turn_id,agent_evidence,evidence,reason
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP001,1,Opening,Greeting,Greet the customer politely,"Hi Sir/Madam, Good morning/afternoon/evening",greet,"Hi Sir/Madam, Good morning/afternoon/evening",greeting,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,0.9,"Agent greeted the customer with 'Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team,' which is a polite greeting consistent with the SOP item.",0.2632,0.4143,0.3614,azure_openai,,"63,64,65",64,"Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very much for your valuable time. Have a good day.","[275.3 - 275.9] Agent: Okay.
[277.3 - 285.8] Agent: Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very much for your valuable time. Have a good day.
[286.3 - 287.0] Customer: Thank you, ma'am. Okay.","Agent greeted the customer with 'Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team,' which is a polite greeting consistent with the SOP item."
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP002,2,Opening,Identity Confirmation,Introduce yourself and your team,I am from adventure team on Mahindra & Mahindra,confirm_identity,I am _____ from adventure team on Mahindra & Mahindra,introduce_agent,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,1.0,"Agent clearly introduced themselves and their team by saying, 'Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.'",0.526,0.6289,0.5929,azure_openai,,"3,4,5,6,7,8,9",4,"Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.","[8.4 - 8.7] Customer: Hello.
[11.0 - 14.8] Agent: Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.
[15.7 - 16.6] Customer: Yes, I will get it. Please tell me.
[18.1 - 20.2] Agent: Am I speaking to Pati Sharma ji?
[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.","Agent clearly introduced themselves and their team by saying, 'Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.'"
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP003,3,Opening,Purpose Explanation,Explain the purpose and duration of the call,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes. Your responses will be kept confidential and used only for analysis purposes.,explain_purpose,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes. Your responses will be kept confidential and used only for analysis purposes.,explain_purpose,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,0.9,"Agent clearly explained the purpose of the call as a feedback exercise to understand customer preferences and improve future adventure experiences, matching the expected intent of explaining the purpose. Although the exact duration was not mentioned, the overall explanation of purpose and call nature is sufficiently covered.",0.3889,0.6185,0.5381,azure_openai,,"7,8,9,10,11,12,13",8,"Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?","[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.
[36.4 - 37.1] Agent: So...
[38.7 - 42.3] Agent: Sir, I would like to get your basic details, such as your age.
[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?","Agent clearly explained the purpose of the call as a feedback exercise to understand customer preferences and improve future adventure experiences, matching the expected intent of explaining the purpose. Although the exact duration was not mentioned, the overall explanation of purpose and call nature is sufficiently covered."
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP004,4,Survey,Basic Information,Ask for customer's age,May I know your age?,ask_question,May I know your age?,ask_age,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,1.0,"Agent explicitly asked for basic details including age: 'Sir, I would like to get your basic details, such as your age.'",0.5397,0.6104,0.5857,azure_openai,,"10,11,12,13,14,15,16",11,"Sir, I would like to get your basic details, such as your age.","[36.4 - 37.1] Agent: So...
[38.7 - 42.3] Agent: Sir, I would like to get your basic details, such as your age.
[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?
[48.4 - 51.1] Customer: Yes, I am in the telecom industry, ma'am.
[52.6 - 55.4] Agent: Okay. And sir, how many members are there in your family?
[57.1 - 57.8] Customer: Which number is this?","Agent explicitly asked for basic details including age: 'Sir, I would like to get your basic details, such as your age.'"
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP005,5,Survey,Basic Information,Ask for customer's profession,What is your profession?,ask_question,What is your profession?,ask_profession,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,1.0,"Agent explicitly asked the customer for their profession with the question 'And sir, your profession?' which matches the expected intent to ask for customer's profession.",0.5577,0.5826,0.5739,azure_openai,,"12,13,14,15,16,17,18",13,"Forty. And sir, your profession?","[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?
[48.4 - 51.1] Customer: Yes, I am in the telecom industry, ma'am.
[52.6 - 55.4] Agent: Okay. And sir, how many members are there in your family?
[57.1 - 57.8] Customer: Which number is this?
[58.6 - 62.0] Agent: Three members. And sir, which four-wheeler vehicle do you have?
[62.6 - 64.5] Customer: Ma'am, I have a Mahindra Thar, a four-wheeler.","Agent explicitly asked the customer for their profession with the question 'And sir, your profession?' which matches the expected intent to ask for customer's profession."
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP006,6,Survey,Basic Information,Ask how many people are in the customer's family,How many people are there in your family?,ask_question,How many people are there in your family?,ask_family_size,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,Agent explicitly asked 'how many members are there in your family?' which matches the SOP checklist item intent to ask family size.,0.8477,0.6991,0.7511,azure_openai,,"14,15,16,17,18,19,20",15,"Okay. And sir, how many members are there in your family?","[48.4 - 51.1] Customer: Yes, I am in the telecom industry, ma'am.
[52.6 - 55.4] Agent: Okay. And sir, how many members are there in your family?
[57.1 - 57.8] Customer: Which number is this?
[58.6 - 62.0] Agent: Three members. And sir, which four-wheeler vehicle do you have?
[62.6 - 64.5] Customer: Ma'am, I have a Mahindra Thar, a four-wheeler.
[65.1 - 66.1] Agent: Mahindra Thar.
[66.9 - 67.3] Customer: Hmm hmm.",Agent explicitly asked 'how many members are there in your family?' which matches the SOP checklist item intent to ask family size.
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP007,7,Survey,Basic Information,Ask which vehicle or vehicles the customer owns,Which vehicle or vehicles do you own?,ask_question,Which vehicle or vehicles do you own?,ask_vehicle_ownership,none,,,,,,Not Applicable,Applicable,,Confirmed,Review Suggested,Yes,1.0,"Agent explicitly asked 'which four-wheeler vehicle do you have?', directly covering the SOP item about vehicle ownership.",0.5379,0.5663,0.5564,azure_openai,,"16,17,18,19,20,21,22",17,"Three members. And sir, which four-wheeler vehicle do you have?","[57.1 - 57.8] Customer: Which number is this?
[58.6 - 62.0] Agent: Three members. And sir, which four-wheeler vehicle do you have?
[62.6 - 64.5] Customer: Ma'am, I have a Mahindra Thar, a four-wheeler.
[65.1 - 66.1] Agent: Mahindra Thar.
[66.9 - 67.3] Customer: Hmm hmm.
[68.0 - 70.0] Agent: Okay, for rocks?
[71.0 - 72.4] Customer: No, it's not a rock, ma'am. It's a three-door.","Agent explicitly asked 'which four-wheeler vehicle do you have?', directly covering the SOP item about vehicle ownership."
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP008,8,Survey,Awareness,Ask how the customer first came across the event,How did you first come across the Mahindra Adventure event?,ask_question,How did you first come across the Mahindra Adventure event?,ask_event_source,none,,,,,,Not Applicable,Applicable,,Confirmed,Confirmed,Yes,1.0,"Agent explicitly asked where the customer first saw the Mahindra Adventure event, mentioning platforms like Instagram and Facebook, which matches the SOP intent to ask how the customer first came across the event.",0.6611,0.6966,0.6842,azure_openai,,"22,23,24,25,26,27,28",23,"It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?","[71.0 - 72.4] Customer: No, it's not a rock, ma'am. It's a three-door.
[72.4 - 79.6] Agent: It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?
[80.2 - 82.5] Customer: No, I don't remember that, but I have been to the event two or three times.
[83.7 - 85.7] Agent: Okay, so...
[87.1 - 94.7] Agent: Sir, you were just watching, you hadn't subscribed to Mahindra's adventure event, right? So you...
[93.9 - 96.1] Customer: No, ma'am, I participated in the Mahindra event.
[97.6 - 102.1] Agent: Okay. Which location were you looking for, sir?","Agent explicitly asked where the customer first saw the Mahindra Adventure event, mentioning platforms like Instagram and Facebook, which matches the SOP intent to ask how the customer first came across the event."
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP009,9,Survey,Initial Interest,Ask what part of the event caught the customer's interest initially,What part of the event caught your interest initially?,ask_question,What part of the event caught your interest initially?,ask_initial_interest,none,,,,,,Not Applicable,Applicable,,Missed / Not Evidenced,Review Suggested,Yes,0.9,"Agent asked where the customer first saw the event (e.g., Instagram, Facebook) but did not ask what part of the event caught the customer's interest initially.",0.2337,0.4242,0.3575,azure_openai,,"22,23,24,25,26,27,28",23,"It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?","[71.0 - 72.4] Customer: No, it's not a rock, ma'am. It's a three-door.
[72.4 - 79.6] Agent: It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?
[80.2 - 82.5] Customer: No, I don't remember that, but I have been to the event two or three times.
[83.7 - 85.7] Agent: Okay, so...
[87.1 - 94.7] Agent: Sir, you were just watching, you hadn't subscribed to Mahindra's adventure event, right? So you...
[93.9 - 96.1] Customer: No, ma'am, I participated in the Mahindra event.
[97.6 - 102.1] Agent: Okay. Which location were you looking for, sir?","Agent asked where the customer first saw the event (e.g., Instagram, Facebook) but did not ask what part of the event caught the customer's interest initially."
CALL007,A007,Sneha,High,registry_name_match,Rejector Adventure Feedback,Other,Mahindra Adventure rejectors questionnaire.docx,SOP010,10,Survey,Reasons for Not Subscribing,Ask what stopped the customer from subscribing to the event,What stopped you from finally subscribing to the event?,ask_question,What stopped you from finally subscribing to the event?,ask_reason_not_subscribe,none,,,,,,Not Applicable,Applicable,,Missed / Not Evidenced,Review Suggested,Yes,1.0,"Agent asked if the customer didn't subscribe and about the event watched, but did not explicitly ask what stopped the customer from subscribing.",0.277,0.6294,0.5061,azure_openai,,"32,33,34,35,36,37,38",33,"Okay, so that's why you didn't subscribe, right? So which event were you watching at that time?","[118.1 - 125.3] Customer: Ma'am, I had another plan regarding the weekend, but it couldn't happen because of that. I had a plan, but something else came up, so it couldn't happen.
[126.8 - 133.2] Agent: Okay, so that's why you didn't subscribe, right? So which event were you watching at that time?
[131.4 - 131.8] Customer: Which one?
[134.0 - 140.5] Customer: Ma'am, I don't remember that either, but you had an event on February 21 or 22. Which location, sir?
[139.3 - 140.7] Agent: At which location, sir?
[141.6 - 143.3] Customer: No, I was only near Mumbai.
[143.9 - 152.5] Agent: It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?","Agent asked if the customer didn't subscribe and about the event watched, but did not explicitly ask what stopped the customer from subscribing."
