sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,item_id,rank,candidate_id,turn_ids,agent_turn_id,candidate_type,retrieval_query,agent_text_for_retrieval,candidate_text,context_text_for_evaluation,key_match_score,retrieval_score,combined_score,retrieval_method,retrieval_error
Other,A007,Sneha,High,registry_name_match,CALL007,SOP001,1,AW0035,"63,64,65",64,agent_anchored_window,"Hi Sir/Madam, Good morning/afternoon/evening","Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very much for your valuable time. Have a good day.","[275.3 - 275.9] Agent: Okay.
[277.3 - 285.8] Agent: Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very much for your valuable time. Have a good day.
[286.3 - 287.0] Customer: Thank you, ma'am. Okay.","[275.3 - 275.9] Agent: Okay.
[277.3 - 285.8] Agent: Okay, Sharma ji, so I will mention your feedback here. It was nice talking to you, sir. Thank you very much for your valuable time. Have a good day.
[286.3 - 287.0] Customer: Thank you, ma'am. Okay.",0.2632,0.4143,0.3614,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP001,2,AW0002,"3,4,5,6,7,8,9",4,agent_anchored_window,"Hi Sir/Madam, Good morning/afternoon/evening","Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.","[8.4 - 8.7] Customer: Hello.
[11.0 - 14.8] Agent: Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.
[15.7 - 16.6] Customer: Yes, I will get it. Please tell me.
[18.1 - 20.2] Agent: Am I speaking to Pati Sharma ji?
[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.","[8.4 - 8.7] Customer: Hello.
[11.0 - 14.8] Agent: Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.
[15.7 - 16.6] Customer: Yes, I will get it. Please tell me.
[18.1 - 20.2] Agent: Am I speaking to Pati Sharma ji?
[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.",0.3177,0.379,0.3575,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP001,3,AW0006,"10,11,12,13,14,15,16",11,agent_anchored_window,"Hi Sir/Madam, Good morning/afternoon/evening","Sir, I would like to get your basic details, such as your age.","[36.4 - 37.1] Agent: So...
[38.7 - 42.3] Agent: Sir, I would like to get your basic details, such as your age.
[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?
[48.4 - 51.1] Customer: Yes, I am in the telecom industry, ma'am.
[52.6 - 55.4] Agent: Okay. And sir, how many members are there in your family?
[57.1 - 57.8] Customer: Which number is this?","[36.4 - 37.1] Agent: So...
[38.7 - 42.3] Agent: Sir, I would like to get your basic details, such as your age.
[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?
[48.4 - 51.1] Customer: Yes, I am in the telecom industry, ma'am.
[52.6 - 55.4] Agent: Okay. And sir, how many members are there in your family?
[57.1 - 57.8] Customer: Which number is this?",0.1709,0.4202,0.3329,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP001,4,AW0019,"35,36,37,38,39,40,41",36,agent_anchored_window,"Hi Sir/Madam, Good morning/afternoon/evening","At which location, sir?","[134.0 - 140.5] Customer: Ma'am, I don't remember that either, but you had an event on February 21 or 22. Which location, sir?
[139.3 - 140.7] Agent: At which location, sir?
[141.6 - 143.3] Customer: No, I was only near Mumbai.
[143.9 - 152.5] Agent: It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?
[151.2 - 154.7] Customer: Ma'am, I follow you on Instagram. You keep coming to me.
[154.2 - 157.4] Agent: Okay, you had seen it on Instagram itself. Instagram, okay.
[159.1 - 162.2] Agent: Sir, can I know the name of that adventure?","[134.0 - 140.5] Customer: Ma'am, I don't remember that either, but you had an event on February 21 or 22. Which location, sir?
[139.3 - 140.7] Agent: At which location, sir?
[141.6 - 143.3] Customer: No, I was only near Mumbai.
[143.9 - 152.5] Agent: It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?
[151.2 - 154.7] Customer: Ma'am, I follow you on Instagram. You keep coming to me.
[154.2 - 157.4] Agent: Okay, you had seen it on Instagram itself. Instagram, okay.
[159.1 - 162.2] Agent: Sir, can I know the name of that adventure?",0.154,0.411,0.3211,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP002,1,AW0002,"3,4,5,6,7,8,9",4,agent_anchored_window,I am from adventure team on Mahindra & Mahindra,"Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.","[8.4 - 8.7] Customer: Hello.
[11.0 - 14.8] Agent: Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.
[15.7 - 16.6] Customer: Yes, I will get it. Please tell me.
[18.1 - 20.2] Agent: Am I speaking to Pati Sharma ji?
[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.","[8.4 - 8.7] Customer: Hello.
[11.0 - 14.8] Agent: Good morning, Sneha speaking from the Mahindra and Mahindra Adventure team.
[15.7 - 16.6] Customer: Yes, I will get it. Please tell me.
[18.1 - 20.2] Agent: Am I speaking to Pati Sharma ji?
[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.",0.526,0.6289,0.5929,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP002,2,AW0020,"37,38,39,40,41,42,43",38,agent_anchored_window,I am from adventure team on Mahindra & Mahindra,"It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?","[141.6 - 143.3] Customer: No, I was only near Mumbai.
[143.9 - 152.5] Agent: It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?
[151.2 - 154.7] Customer: Ma'am, I follow you on Instagram. You keep coming to me.
[154.2 - 157.4] Agent: Okay, you had seen it on Instagram itself. Instagram, okay.
[159.1 - 162.2] Agent: Sir, can I know the name of that adventure?
[163.3 - 168.2] Customer: I don't remember the name right now. Please check your calendar once more to see what was said to you.
[165.4 - 166.1] Agent: Now, once on your own...","[141.6 - 143.3] Customer: No, I was only near Mumbai.
[143.9 - 152.5] Agent: It was in Mumbai itself. And where did you see it? I mean, where did you see Mahindra's first adventure event, like on Instagram or YouTube?
[151.2 - 154.7] Customer: Ma'am, I follow you on Instagram. You keep coming to me.
[154.2 - 157.4] Agent: Okay, you had seen it on Instagram itself. Instagram, okay.
[159.1 - 162.2] Agent: Sir, can I know the name of that adventure?
[163.3 - 168.2] Customer: I don't remember the name right now. Please check your calendar once more to see what was said to you.
[165.4 - 166.1] Agent: Now, once on your own...",0.498,0.526,0.5162,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP002,3,AW0022,"40,41,42,43,44,45,46",41,agent_anchored_window,I am from adventure team on Mahindra & Mahindra,"Sir, can I know the name of that adventure?","[154.2 - 157.4] Agent: Okay, you had seen it on Instagram itself. Instagram, okay.
[159.1 - 162.2] Agent: Sir, can I know the name of that adventure?
[163.3 - 168.2] Customer: I don't remember the name right now. Please check your calendar once more to see what was said to you.
[165.4 - 166.1] Agent: Now, once on your own...
[169.1 - 180.0] Agent: Okay. And sir, whenever you canceled the plan, were you also watching any other event or outdoor experiences at that time?
[180.4 - 182.5] Customer: No, ma'am, I don't want any other order.
[182.8 - 199.1] Agent: They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the adventure event is ongoing? Should we inform you less than one week, one to two weeks, two to four weeks, or...","[154.2 - 157.4] Agent: Okay, you had seen it on Instagram itself. Instagram, okay.
[159.1 - 162.2] Agent: Sir, can I know the name of that adventure?
[163.3 - 168.2] Customer: I don't remember the name right now. Please check your calendar once more to see what was said to you.
[165.4 - 166.1] Agent: Now, once on your own...
[169.1 - 180.0] Agent: Okay. And sir, whenever you canceled the plan, were you also watching any other event or outdoor experiences at that time?
[180.4 - 182.5] Customer: No, ma'am, I don't want any other order.
[182.8 - 199.1] Agent: They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the adventure event is ongoing? Should we inform you less than one week, one to two weeks, two to four weeks, or...",0.3073,0.516,0.443,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP002,4,AW0012,"22,23,24,25,26,27,28",23,agent_anchored_window,I am from adventure team on Mahindra & Mahindra,"It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?","[71.0 - 72.4] Customer: No, it's not a rock, ma'am. It's a three-door.
[72.4 - 79.6] Agent: It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?
[80.2 - 82.5] Customer: No, I don't remember that, but I have been to the event two or three times.
[83.7 - 85.7] Agent: Okay, so...
[87.1 - 94.7] Agent: Sir, you were just watching, you hadn't subscribed to Mahindra's adventure event, right? So you...
[93.9 - 96.1] Customer: No, ma'am, I participated in the Mahindra event.
[97.6 - 102.1] Agent: Okay. Which location were you looking for, sir?","[71.0 - 72.4] Customer: No, it's not a rock, ma'am. It's a three-door.
[72.4 - 79.6] Agent: It  was  only...  okay.  And  sir,  where  did  you  first  see  the  Mahindra  Adventure  event?  Like  Instagram, Facebook, etc. Where?
[80.2 - 82.5] Customer: No, I don't remember that, but I have been to the event two or three times.
[83.7 - 85.7] Agent: Okay, so...
[87.1 - 94.7] Agent: Sir, you were just watching, you hadn't subscribed to Mahindra's adventure event, right? So you...
[93.9 - 96.1] Customer: No, ma'am, I participated in the Mahindra event.
[97.6 - 102.1] Agent: Okay. Which location were you looking for, sir?",0.3008,0.4849,0.4205,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP003,1,AW0004,"7,8,9,10,11,12,13",8,agent_anchored_window,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes. Your responses will be kept confidential and used only for analysis purposes.,"Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?","[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.
[36.4 - 37.1] Agent: So...
[38.7 - 42.3] Agent: Sir, I would like to get your basic details, such as your age.
[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?","[20.9 - 21.7] Customer: Yes, tell me.
[22.4 - 36.2] Agent: Thank you for confirming. So, sir, this call is a small feedback call for you so that we can understand our customer preferences and make the adventure experience even better for future events. Okay?
[35.9 - 36.4] Customer: Okay, ma'am.
[36.4 - 37.1] Agent: So...
[38.7 - 42.3] Agent: Sir, I would like to get your basic details, such as your age.
[43.1 - 43.8] Customer: Forty.
[44.6 - 47.1] Agent: Forty. And sir, your profession?",0.3889,0.6185,0.5381,azure_openai,
Other,A007,Sneha,High,registry_name_match,CALL007,SOP003,2,AW0025,"45,46,47,48,49,50,51",46,agent_anchored_window,We are conducting a short feedback exercise to understand customer preferences for Adventure experiences. This will help us improve future events. The call will take about 8–10 minutes. Your responses will be kept confidential and used only for analysis purposes.,"They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the adventure event is ongoing? Should we inform you less than one week, one to two weeks, two to four weeks, or...","[180.4 - 182.5] Customer: No, ma'am, I don't want any other order.
[182.8 - 199.1] Agent: They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the adventure event is ongoing? Should we inform you less than one week, one to two weeks, two to four weeks, or...
[198.0 - 199.0] Customer: Then I also said four.
[199.1 - 211.6] Customer: You  should  inform  about  the  four-week  package  in  advance,  meaning  that  such  an  event  is  being planned. If it doesn't happen at the last moment, then people are unable to plan accordingly. If you inform at the last moment, then some other plan also comes up along with it, right?
[203.6 - 203.9] Agent: No, no.
[212.1 - 216.1] Agent: Right, so we should inform you four weeks in advance, right? We should inform you.
[215.4 - 215.6] Customer: Yes.","[180.4 - 182.5] Customer: No, ma'am, I don't want any other order.
[182.8 - 199.1] Agent: They were not visible, okay. So, sir, what do you think? I mean, by when should we inform you if the adventure event is ongoing? Should we inform you less than one week, one to two weeks, two to four weeks, or...
[198.0 - 199.0] Customer: Then I also said four.
[199.1 - 211.6] Customer: You  should  inform  about  the  four-week  package  in  advance,  meaning  that  such  an  event  is  being planned. If it doesn't happen at the last moment, then people are unable to plan accordingly. If you inform at the last moment, then some other plan also comes up along with it, right?
[203.6 - 203.9] Agent: No, no.
[212.1 - 216.1] Agent: Right, so we should inform you four weeks in advance, right? We should inform you.
[215.4 - 215.6] Customer: Yes.",0.1543,0.4534,0.3487,azure_openai,
