output_version,output_generated_at,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
run_001,2026-06-17T17:20:55,CALL006,1,SPEAKER_01,22.66,27.39,4.73,"Hello, I am Dheeraj from Mahindra Adventures Even. I am talking to Mr. Naaz.",Agent
run_001,2026-06-17T17:20:55,CALL006,2,SPEAKER_00,27.89,29.88,1.99,"Ah, yeah. Can't speak in English.",Customer
run_001,2026-06-17T17:20:55,CALL006,3,SPEAKER_01,30.27,32.87,2.6,"Excuse me, sir. Can I speak to Mr. Naaz only?",Agent
run_001,2026-06-17T17:20:55,CALL006,4,SPEAKER_00,33.44,34.29,0.85,Oh yeah.,Customer
run_001,2026-06-17T17:20:55,CALL006,5,SPEAKER_01,34.37,44.73,10.36,"Mr. Naaz, as you have shown your interest in Mahindra Adventures Event, but due to some reason you have rejected this event, so this is a feedback call so that we can improve our adventures event.",Agent
run_001,2026-06-17T17:20:55,CALL006,6,SPEAKER_01,45.09,48.5,3.41,So is it convenient time to speak with you for the 8 to 10 minutes only?,Agent
run_001,2026-06-17T17:20:55,CALL006,7,SPEAKER_00,49.1,50.37,1.27,"Yes, yes, I understand.",Customer
run_001,2026-06-17T17:20:55,CALL006,8,SPEAKER_01,50.28,52.92,2.64,"So, for the profile purpose management, what is your risk?",Agent
run_001,2026-06-17T17:20:55,CALL006,9,SPEAKER_01,56.09,58.87,2.78,"For the profile purpose manual, what is your age Mr. Naj?",Agent
run_001,2026-06-17T17:20:55,CALL006,10,SPEAKER_00,59.4,60.9,1.5,My age is 22.,Customer
run_001,2026-06-17T17:20:55,CALL006,11,SPEAKER_01,61.44,64.85,3.41,22. And you are a salaried businessman or you are a student?,Agent
run_001,2026-06-17T17:20:55,CALL006,12,SPEAKER_00,65.67,67.46,1.79,"No, I'm glad to be here.",Customer
run_001,2026-06-17T17:20:55,CALL006,13,SPEAKER_01,68.27,72.53,4.26,"Okay, you are the right person. So in the family member, how many members are there?",Agent
run_001,2026-06-17T17:20:55,CALL006,14,SPEAKER_00,73.62,77.93,4.31,"My family members are my father, mother and brother.",Customer
run_001,2026-06-17T17:20:55,CALL006,15,SPEAKER_01,78.65,79.85,1.2,"Total four member, right?",Agent
run_001,2026-06-17T17:20:55,CALL006,16,SPEAKER_00,80.36,81.2,0.84,"Yeah, probably.",Customer
run_001,2026-06-17T17:20:55,CALL006,17,SPEAKER_01,81.35,83.48,2.13,"Okay, minute which vehicle you have own",Agent
run_001,2026-06-17T17:20:55,CALL006,18,SPEAKER_00,84.61,86.5,1.89,"Uh, I haven't, I...",Customer
run_001,2026-06-17T17:20:55,CALL006,19,SPEAKER_00,87.39,88.49,1.1,Scorpio.,Customer
run_001,2026-06-17T17:20:55,CALL006,20,SPEAKER_01,89.18,90.89,1.71,"Squad Piano, Squad 2 Classic.",Agent
run_001,2026-06-17T17:20:55,CALL006,21,SPEAKER_00,92.1,93.05,0.95,"Paul, to your left.",Customer
run_001,2026-06-17T17:20:55,CALL006,22,SPEAKER_01,93.7,96.0,2.3,Scorpio classic and which,Agent
run_001,2026-06-17T17:20:55,CALL006,23,SPEAKER_00,95.66,98.11,2.45,And Hilux. My brother has a Hilux.,Customer
run_001,2026-06-17T17:20:55,CALL006,24,SPEAKER_01,98.13,99.71,1.58,And which one you have?,Agent
run_001,2026-06-17T17:20:55,CALL006,25,SPEAKER_01,104.07,109.13,5.06,So from where you have got about the Mahinda Adventures event,Agent
run_001,2026-06-17T17:20:55,CALL006,26,SPEAKER_01,112.33,113.7,1.37,From where you are aware about that?,Agent
run_001,2026-06-17T17:20:55,CALL006,27,SPEAKER_01,115.78,118.24,2.46,Instagram. And for which location you have seen?,Agent
run_001,2026-06-17T17:20:55,CALL006,28,SPEAKER_00,119.52,120.65,1.13,CURC Sanctis.,Customer
run_001,2026-06-17T17:20:55,CALL006,29,SPEAKER_00,123.24,124.86,1.62,Okay.,Customer
run_001,2026-06-17T17:20:55,CALL006,30,SPEAKER_01,125.13,130.1,4.97,so what was the reason uh what was the reason for you have shown the interested for that,Agent
run_001,2026-06-17T17:20:55,CALL006,31,SPEAKER_00,130.58,131.91,1.33,For the court lesson.,Customer
run_001,2026-06-17T17:20:55,CALL006,32,SPEAKER_01,131.05,132.11,1.06,For the court lesson.,Agent
run_001,2026-06-17T17:20:55,CALL006,33,SPEAKER_00,132.58,133.9,1.32,"Yeah, I couldn't get the lead.",Customer
run_001,2026-06-17T17:20:55,CALL006,34,SPEAKER_01,134.71,140.03,5.32,For what was the reason you have shown the interest rate for the good location only?,Agent
run_001,2026-06-17T17:20:55,CALL006,35,SPEAKER_00,143.92,144.75,0.83,"Pardon, sir.",Customer
run_001,2026-06-17T17:20:55,CALL006,36,SPEAKER_01,146.32,150.25,3.93,for what reason you have shown the interest rate for the good location,Agent
run_001,2026-06-17T17:20:55,CALL006,37,SPEAKER_00,151.43,155.89,4.46,Pogi is a little far from here.,Customer
run_001,2026-06-17T17:20:55,CALL006,38,SPEAKER_01,156.85,158.69,1.84,Due to the,Agent
