call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role
CALL004,1,SPEAKER_2,0.0,3.4,3.4,Hello.,Customer
CALL004,2,SPEAKER_1,5.2,9.1,3.9,"Good afternoon, ma'am. This is Pragya calling from Mahindra Adventure Activity.",Agent
CALL004,3,SPEAKER_2,9.8,10.3,0.5,Yes.,Customer
CALL004,4,SPEAKER_1,10.6,12.6,2.0,"I am talking to the Adventure Activity Team, ma'am.",Agent
CALL004,5,SPEAKER_2,13.2,13.7,0.5,Tell me.,Customer
CALL004,6,SPEAKER_1,13.9,19.4,5.5,"It's  a  small  feedback  call,  ma'am,  so  that  we  can  understand  our  customers'  preferences  for  the adventure experience.",Agent
CALL004,7,SPEAKER_1,20.9,30.5,9.6,"Yes, for these future events that we will have, it will help us make them even better. And ma'am, this call will take a maximum of only eight to ten minutes.",Agent
CALL004,8,SPEAKER_1,31.8,45.9,14.1,"And ma'am, this feedback will be kept confidential. We are only going to use it for analysis purposes, okay? Ma'am, before starting the feedback, we would like to know some basic information, like your age.",Agent
CALL004,9,SPEAKER_2,47.0,48.9,1.9,My age is forty-two.,Customer
CALL004,10,SPEAKER_1,49.6,55.4,5.8,"Okay, and ma'am, what is your profession? For example, are you a salaried person or self-employed?",Agent
CALL004,11,SPEAKER_2,55.8,58.5,2.7,"No, my phone rang at 8 o'clock.",Customer
CALL004,12,SPEAKER_1,59.1,64.5,5.4,"Okay, and ma'am, how many members are there in your family?",Agent
CALL004,13,SPEAKER_2,65.3,65.9,0.6,Three.,Customer
CALL004,14,SPEAKER_1,67.7,72.2,4.5,"And ma'am, how many cars do you have available in four-wheelers?",Agent
CALL004,15,SPEAKER_2,71.9,74.7,2.8,I have two four-wheelers.,Customer
CALL004,16,SPEAKER_1,75.2,77.2,2.0,"Okay, ma'am, can you tell me your name?",Agent
CALL004,17,SPEAKER_2,77.8,79.4,1.6,"Seven double O, Thar.",Customer
CALL004,18,SPEAKER_1,80.3,82.3,2.0,"Okay, seven double O and Thar, right?",Agent
CALL004,19,SPEAKER_2,82.8,83.2,0.4,Yes.,Customer
CALL004,20,SPEAKER_1,84.0,89.5,5.5,"Okay. And ma'am, when did you last participate in the Mahindra Adventure Activity?",Agent
CALL004,21,SPEAKER_2,91.1,93.3,2.2,Last July 4.,Customer
CALL004,22,SPEAKER_1,93.8,96.2,2.4,"Okay, in 2025, in July, right?",Agent
CALL004,23,SPEAKER_2,96.6,97.1,0.5,Yes.,Customer
CALL004,24,SPEAKER_1,97.7,102.3,4.6,"Okay, ma'am, do you remember the location or the name of the event?",Agent
CALL004,25,SPEAKER_2,103.2,106.6,3.4,The name of the event is that.,Customer
CALL004,26,SPEAKER_1,107.0,109.0,2.0,Great Escape or Trail Hunt?,Agent
CALL004,27,SPEAKER_2,109.0,110.9,1.9,"It is a trail, it is a trail.",Customer
CALL004,28,SPEAKER_1,111.5,113.5,2.0,"Okay, Trail Hunt. And ma'am, the location?",Agent
CALL004,29,SPEAKER_2,114.2,116.5,2.3,Location: Nagpur Chokhardani.,Customer
CALL004,30,SPEAKER_1,118.5,120.3,1.8,"The location was Nagpur, right?",Agent
CALL004,31,SPEAKER_2,120.8,121.4,0.6,Yes.,Customer
CALL004,32,SPEAKER_1,122.1,126.9,4.8,"Okay, and ma'am, where did you get the information about this from?",Agent
CALL004,33,SPEAKER_2,127.7,130.6,2.9,I called my showroom from where I bought the car.,Customer
CALL004,34,SPEAKER_1,130.9,134.2,3.3,"Okay, you got the information from the dealership.",Agent
CALL004,35,SPEAKER_2,133.3,136.3,3.0,It is the name of a preferential dealership.,Customer
CALL004,36,SPEAKER_1,137.1,144.8,7.7,"Okay, and ma'am, what was the thing that you found very interesting, which made you think of booking this adventure?",Agent
CALL004,37,SPEAKER_1,148.8,152.2,3.4,"As you received this information from the dealership, right?",Agent
CALL004,38,SPEAKER_2,152.7,153.2,0.5,Yes.,Customer
CALL004,39,SPEAKER_1,153.3,160.6,7.3,"Yes, so what was the thing, ma'am, that you found very exciting and interesting, because of which you booked the adventure event?",Agent
CALL004,40,SPEAKER_2,161.3,175.3,14.0,"In  Nagpur,  I  think  I  hadn't  seen  it  before,  so  I  took  the  Thar  for  that  reason.  Actually,  I  also  had  a three-door Thar, but I didn't do any adventure in it. When I took the Thar, I had to go a little bit through it. I liked it.",Customer
CALL004,41,SPEAKER_1,170.8,171.3,0.5,Okay.,Agent
CALL004,42,SPEAKER_1,175.6,178.9,3.3,"Okay, the location was good, and you wanted to do an adventure, right?",Agent
