sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,sentiment_label,sentiment_score,positive_component,neutral_component,negative_component,experience_classifier_used,customer_experience_label,is_customer_experience_negative,customer_experience_confidence,customer_experience_reason,customer_experience_issue_theme,customer_experience_issue_pointer
Booking,A004,Pragya,Medium,registry_name_match,CALL004,1,SPEAKER_2,0.0,3.4,3.4,Hello.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,2,SPEAKER_1,5.2,9.1,3.9,"Good afternoon, ma'am. This is Pragya calling from Mahindra Adventure Activity.",Agent,Positive,0.6369,0.366,0.634,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,3,SPEAKER_2,9.8,10.3,0.5,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,4,SPEAKER_1,10.6,12.6,2.0,"I am talking to the Adventure Activity Team, ma'am.",Agent,Positive,0.3182,0.223,0.777,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,5,SPEAKER_2,13.2,13.7,0.5,Tell me.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,6,SPEAKER_1,13.9,19.4,5.5,"It's  a  small  feedback  call,  ma'am,  so  that  we  can  understand  our  customers'  preferences  for  the",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,7,SPEAKER_1,20.9,30.5,9.6,"Yes, for these future events that we will have, it will help us make them even better. And ma'am, this call",Agent,Positive,0.8074,0.316,0.684,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,8,SPEAKER_1,31.8,45.9,14.1,"And ma'am, this feedback will be kept confidential. We are only going to use it for analysis purposes,",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,9,SPEAKER_2,47.0,48.9,1.9,My age is forty-two.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,10,SPEAKER_1,49.6,55.4,5.8,"Okay, and ma'am, what is your profession? For example, are you a salaried person or self-employed?",Agent,Positive,0.3094,0.131,0.869,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,11,SPEAKER_2,55.8,58.5,2.7,"No, my phone rang at 8 o'clock.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,12,SPEAKER_1,59.1,64.5,5.4,"Okay, and ma'am, how many members are there in your family?",Agent,Positive,0.2263,0.16,0.84,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,13,SPEAKER_2,65.3,65.9,0.6,Three.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,14,SPEAKER_1,67.7,72.2,4.5,"And ma'am, how many cars do you have available in four-wheelers?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,15,SPEAKER_2,71.9,74.7,2.8,I have two four-wheelers.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,16,SPEAKER_1,75.2,77.2,2.0,"Okay, ma'am, can you tell me your name?",Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,17,SPEAKER_2,77.8,79.4,1.6,"Seven double O, Thar.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,18,SPEAKER_1,80.3,82.3,2.0,"Okay, seven double O and Thar, right?",Agent,Positive,0.2263,0.241,0.759,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,19,SPEAKER_2,82.8,83.2,0.4,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,20,SPEAKER_1,84.0,89.5,5.5,"Okay. And ma'am, when did you last participate in the Mahindra Adventure Activity?",Agent,Positive,0.4939,0.276,0.724,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,21,SPEAKER_2,91.1,93.3,2.2,Last July 4.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,22,SPEAKER_1,93.8,96.2,2.4,"Okay, in 2025, in July, right?",Agent,Positive,0.2263,0.275,0.725,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,23,SPEAKER_2,96.6,97.1,0.5,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,24,SPEAKER_1,97.7,102.3,4.6,"Okay, ma'am, do you remember the location or the name of the event?",Agent,Positive,0.2263,0.137,0.863,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,25,SPEAKER_2,103.2,106.6,3.4,The name of the event is that.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,26,SPEAKER_1,107.0,109.0,2.0,Great Escape or Trail Hunt?,Agent,Positive,0.7003,0.659,0.341,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,27,SPEAKER_2,109.0,110.9,1.9,"It is a trail, it is a trail.",Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,28,SPEAKER_1,111.5,113.5,2.0,"Okay, Trail Hunt. And ma'am, the location?",Agent,Positive,0.2263,0.241,0.759,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,29,SPEAKER_2,114.2,116.5,2.3,Location: Nagpur Chokhardani.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,30,SPEAKER_1,118.5,120.3,1.8,"The location was Nagpur, right?",Agent,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,31,SPEAKER_2,120.8,121.4,0.6,Yes.,Customer,Positive,0.4019,1.0,0.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,32,SPEAKER_1,122.1,126.9,4.8,"Okay, and ma'am, where did you get the information about this from?",Agent,Positive,0.2263,0.147,0.853,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,33,SPEAKER_2,127.7,130.6,2.9,I called my showroom from where I bought the car.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,34,SPEAKER_1,130.9,134.2,3.3,"Okay, you got the information from the dealership.",Agent,Positive,0.2263,0.213,0.787,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,35,SPEAKER_2,133.3,136.3,3.0,It is the name of a preferential dealership.,Customer,Neutral,0.0,0.0,1.0,0.0,No,,False,,,,
Booking,A004,Pragya,Medium,registry_name_match,CALL004,36,SPEAKER_1,137.1,144.8,7.7,"Okay, and ma'am, what was the thing that you found very interesting, which made you think of booking",Agent,Positive,0.5984,0.234,0.766,0.0,No,,False,,,,
