output_version,output_generated_at,sop_call_type,agent_id,agent_name,agent_name_confidence,agent_identity_source,call_id,turn_id,speaker,start_time_sec,end_time_sec,duration_sec,utterance,role,word_count,duration_min,wpm,gap_from_previous_sec,agent_response_gap_from_customer_sec,overlap_with_previous_sec,agent_talkover_with_previous_customer_sec,is_long_agent_turn
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,1,SPEAKER_01,0.71,1.8,1.09,BEEP BEEP,Agent,2,0.018166666666666668,110.09,0.0,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,2,SPEAKER_01,4.03,5.62,1.59,Hello?,Agent,1,0.026500000000000003,37.74,2.23,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,3,SPEAKER_01,7.07,15.25,8.18,"Good evening, this is Sakshi calling you from Mahindra's Adventure Team. Am I speaking with Mr. Drishti Ruparaj? Yeah, Ms. Drishti, yes.",Agent,23,0.13633333333333333,168.7,1.45,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,4,SPEAKER_01,15.59,23.4,7.81,"Yes, we are conducting a short feedback exercise to understand customer preferences for adventure experiences. This will help us to improve our future events.",Agent,24,0.13016666666666665,184.38,0.34,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,5,SPEAKER_01,23.62,32.65,9.03,It will about take your 8-10 minutes. Your responses will be kept confidential and used for analysis purpose only. So is this a convenient time to speak with you now ma'am?,Agent,33,0.1505,219.27,0.22,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,6,SPEAKER_01,33.39,36.8,3.41,"Yeah, yeah. Just tell me, please. Okay, okay. Thank you so much, ma'am, for your valuable time.",Agent,18,0.05683333333333333,316.72,0.74,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,7,SPEAKER_01,37.0,40.35,3.35,we would like to start with the basic information. So may I know your age?,Agent,15,0.05583333333333333,268.66,0.2,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,8,SPEAKER_01,41.48,54.18,12.7,"26. Okay. And so, ma'am, if you don't mind, may I know your profession, like a businesswoman, self-employed or salaried? Business. Business. Okay. And how many people are there in your immediate family?",Agent,36,0.21166666666666664,170.08,1.13,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,9,SPEAKER_01,55.4,56.38,0.98,"Mm-hmm, thanks.",Agent,3,0.01633333333333333,183.67,1.22,0.0,0.0,0.0,False
run_001,2026-06-17T17:14:59,Booking,A002,Sakshi,Medium,transcript_name,CALL002,10,SPEAKER_00,55.6,56.39,0.79,Mm-hmm.,Customer,2,0.013166666666666667,151.9,0.0,0.0,0.78,0.0,False
